tracking_id,entry_time,exit_time,total_duration_sec,category_showroom,zoneA_duration_sec,zoneB_duration_sec,zoneC_duration_sec
s1_12,2026-03-13 13:42:44,2026-03-13 13:42:46,2.33,bounce_off,0.0,0.0,0.0
s1_16,2026-03-13 13:42:45,2026-03-13 13:42:48,3.11,bounce_off,0.0,0.0,0.0
s1_8,2026-03-13 13:42:44,2026-03-13 13:42:49,4.59,bounce_off,2.98,0.0,0.0
s1_17,2026-03-13 13:42:45,2026-03-13 13:42:55,9.51,bounce_off,4.51,0.0,0.0
s1_10,2026-03-13 13:42:44,2026-03-13 13:43:00,15.55,bounce_off,14.3,0.0,0.0
s1_6,2026-03-13 13:42:44,2026-03-13 13:43:06,22.33,bounce_off,22.85,0.0,0.0
s1_21,2026-03-13 13:42:50,2026-03-13 13:43:13,22.95,bounce_off,19.06,0.0,0.0
s1_26,2026-03-13 13:43:13,2026-03-13 13:43:15,2.22,bounce_off,2.73,0.0,0.0
s1_25,2026-03-13 13:43:13,2026-03-13 13:43:17,3.85,bounce_off,0.75,0.0,0.0
s1_23,2026-03-13 13:43:00,2026-03-13 13:43:18,18.22,bounce_off,18.74,0.0,0.0
s1_9,2026-03-13 13:42:44,2026-03-13 13:43:22,38.24,engager,37.65,0.0,0.0
s1_29,2026-03-13 13:43:21,2026-03-13 13:43:25,4.7,bounce_off,3.96,0.0,0.0
s1_31,2026-03-13 13:43:25,2026-03-13 13:43:30,4.54,bounce_off,5.05,0.0,0.0
s1_28,2026-03-13 13:43:17,2026-03-13 13:43:41,23.81,bounce_off,24.33,0.0,0.0
s1_33,2026-03-13 13:43:40,2026-03-13 13:43:42,2.11,bounce_off,0.0,0.0,0.0
s1_14,2026-03-13 13:42:44,2026-03-13 13:43:43,58.79,engager,0.08,0.0,0.0
s1_30,2026-03-13 13:43:22,2026-03-13 13:43:46,23.45,bounce_off,4.97,0.0,0.0
s1_27,2026-03-13 13:43:15,2026-03-13 13:43:47,31.63,engager,32.13,0.0,0.0
s1_22,2026-03-13 13:42:55,2026-03-13 13:43:50,55.35,engager,0.0,0.0,0.0
s1_7,2026-03-13 13:42:44,2026-03-13 13:43:52,67.67,engager,61.57,0.0,0.0
s1_35,2026-03-13 13:43:50,2026-03-13 13:43:56,5.91,bounce_off,2.92,0.0,0.0
s1_42,2026-03-13 13:44:00,2026-03-13 13:44:05,4.49,bounce_off,0.0,0.0,0.0
s1_41,2026-03-13 13:43:59,2026-03-13 13:44:06,6.34,bounce_off,0.0,0.0,0.0
s1_44,2026-03-13 13:44:05,2026-03-13 13:44:09,3.71,bounce_off,0.0,0.0,0.0
s1_36,2026-03-13 13:43:52,2026-03-13 13:44:12,20.0,bounce_off,20.53,0.0,0.0
s1_13,2026-03-13 13:42:44,2026-03-13 13:44:16,91.58,engager,0.0,0.0,0.0
s1_32,2026-03-13 13:43:36,2026-03-13 13:44:18,41.92,engager,42.43,0.0,0.0
s1_39,2026-03-13 13:43:55,2026-03-13 13:44:19,24.04,bounce_off,0.0,0.0,0.0
s1_49,2026-03-13 13:44:22,2026-03-13 13:44:25,3.1,bounce_off,3.6,0.0,0.0
s1_11,2026-03-13 13:42:44,2026-03-13 13:44:26,102.38,engager,4.01,0.0,0.0
s1_45,2026-03-13 13:44:07,2026-03-13 13:44:27,20.07,bounce_off,10.73,0.0,0.0
s1_51,2026-03-13 13:44:25,2026-03-13 13:44:28,3.62,bounce_off,0.0,0.0,0.0
s1_59,2026-03-13 13:44:33,2026-03-13 13:44:38,4.4,bounce_off,2.15,0.0,0.0
s1_15,2026-03-13 13:42:44,2026-03-13 13:44:38,113.74,engager,65.63,0.0,0.0
s1_63,2026-03-13 13:44:39,2026-03-13 13:44:43,3.87,bounce_off,0.0,0.0,0.0
s1_66,2026-03-13 13:44:44,2026-03-13 13:44:48,4.08,bounce_off,0.0,0.0,0.0
s1_68,2026-03-13 13:44:48,2026-03-13 13:44:51,2.04,bounce_off,0.0,0.0,0.0
s1_69,2026-03-13 13:44:54,2026-03-13 13:44:57,3.13,bounce_off,3.63,0.0,0.0
s1_40,2026-03-13 13:43:56,2026-03-13 13:45:16,79.91,engager,60.29,0.0,0.0
s1_70,2026-03-13 13:44:58,2026-03-13 13:45:21,23.3,bounce_off,17.04,0.0,0.0
s1_75,2026-03-13 13:45:22,2026-03-13 13:45:25,3.06,bounce_off,0.84,0.0,0.0
s1_76,2026-03-13 13:45:22,2026-03-13 13:45:27,4.9,bounce_off,3.4,0.0,0.0
s1_37,2026-03-13 13:43:54,2026-03-13 13:45:27,93.03,engager,2.58,0.0,0.0
s1_47,2026-03-13 13:44:16,2026-03-13 13:45:28,71.88,engager,67.05,0.0,0.0
s1_77,2026-03-13 13:45:24,2026-03-13 13:45:30,6.46,bounce_off,0.0,0.0,0.0
s1_84,2026-03-13 13:45:31,2026-03-13 13:45:34,2.93,bounce_off,0.0,0.0,0.0
s1_80,2026-03-13 13:45:28,2026-03-13 13:45:35,7.69,bounce_off,2.46,0.0,0.0
s1_82,2026-03-13 13:45:30,2026-03-13 13:45:36,5.23,bounce_off,0.52,0.0,0.0
s1_88,2026-03-13 13:45:35,2026-03-13 13:45:38,2.84,bounce_off,0.0,0.0,0.0
s1_87,2026-03-13 13:45:34,2026-03-13 13:45:41,6.84,bounce_off,0.0,0.0,0.0
s1_89,2026-03-13 13:45:37,2026-03-13 13:45:43,5.35,bounce_off,0.0,0.0,0.0
s1_97,2026-03-13 13:45:49,2026-03-13 13:45:53,4.04,bounce_off,0.0,0.0,0.0
s1_95,2026-03-13 13:45:43,2026-03-13 13:45:53,10.67,bounce_off,6.3,0.0,0.0
s1_86,2026-03-13 13:45:32,2026-03-13 13:45:54,21.65,bounce_off,0.0,0.0,0.0
s1_100,2026-03-13 13:45:54,2026-03-13 13:46:01,6.7,bounce_off,0.0,0.0,0.0
s1_99,2026-03-13 13:45:53,2026-03-13 13:46:02,8.26,bounce_off,6.96,0.0,0.0
s1_104,2026-03-13 13:46:09,2026-03-13 13:46:20,10.76,bounce_off,0.0,0.0,0.0
s1_94,2026-03-13 13:45:41,2026-03-13 13:46:22,40.32,engager,38.39,0.0,0.0
